aruco x center px,aruco y center px,aruco z center px,aruco area px,aruco top left corner x px,aruco top left corner y px,aruco top right corner x px,aruco top right corner y px,aruco bottom right corner x px,aruco bottom right corner y px,aruco bottom left corner x px,aruco bottom left corner y px,aruco x center meters,aruco y center meters,aruco z center meters,aruco rot roll (deg),aruco rot pitch (deg),aruco rot yaw (deg)
15.33411267,-382.5,-111,156,377,105,388,105,388,117,377,117,4,-1,0.97,0,0,0
13.50559895,-391,-102,218,384,95,398,96,398,109,384,109,3.5,-1,0.97,0,0,0
16.97026878,-315,-168.5,138,320,174,309,174,310,163,320,163,4.5,0,0.11,0,0,0
15.02601898,-314,-168.5,182,320,175,308,175,308,162,320,162,4,0,0.11,0,0,0
13.12356728,-315,-168,232,322,175,308,175,308,161,322,160,3.5,0,0.11,0,0,0
11.26922358,-315,-167,323,323,176,307,176,307,158,323,158,3,0,0.11,0,0,0
9.400139507,-314,-165.5,462,324,176,304,176,304,155,324,155,2.5,0,0.11,0,0,0
7.448948885,-313.5,-163,757,327,176,301,177,300,150,326,149,2,0,0.11,0,0,0
5.488762653,-313,-158,1388,331,176,295,177,295,140,331,140,1.5,0,0.11,0,0,0
3.586170781,-312,-150,3166,340,177,285,179,284,123,339,122,1,0,0.11,0,0,0
15.07498061,-349,-168.5,175,355,175,343,174,343,162,355,162,4,-0.5,0.11,0,0,0
17.02317258,-348,-169,137,353,175,343,174,343,163,353,163,4.5,-0.5,0.11,0,0,0
13.27423399,-354,-167.5,232,361,175,347,174,347,160,361,160,3.5,-0.5,0.11,0,0,0
11.32251254,-360.5,-167,333,369,176,352,175,352,158,369,158,3,-0.5,0.11,0,0,0
9.486567551,-369,-165.5,451,379,176,359,175,359,155,379,155,2.5,-0.5,0.11,0,0,0
7.642115976,-382.5,-164,717,395,178,369,174,370,150,395,150,2,-0.5,0.11,0,0,0
5.405960078,-406,-159,1297,423,177,388,175,389,141,424,141,1.5,-0.5,0.11,0,0,0
3.728006377,-454.5,-150.5,2998,480,179,428,176,429,122,482,123,1,-0.5,0.11,0,0,0
15.39452771,-383,-168,162,389,174,377,173,377,162,389,162,4,-1,0.11,0,0,0
16.89526874,-284.5,-169.5,138,290,175,279,174,279,164,290,164,4.5,-0.5,0.11,0,0,0
15.18475629,-281,-169,169,287,175,274,174,275,163,287,163,4,0.5,0.11,0,0,0
5.405960078,-255,-169.5,132,260,175,250,174,250,164,261,164,1.5,1,0.11,0,0,0
15.21510815,-248,-169,169,254,175,242,175,242,163,254,163,4,1,0.11,0,0,0
